scaffold	prediction
TO_sample_contig_439210	organism
TO_sample_contig_88751	organism
TO_sample_contig_528899	organism
TO_sample_contig_895405	organism
TO_sample_contig_367234	organism
TO_sample_contig_818331	virus
TO_sample_contig_182811	organism
TO_sample_contig_461081	organism
TO_sample_contig_152746	organism
TO_sample_contig_843639	organism
TO_sample_contig_9557	plasmid
TO_sample_contig_921518	organism
TO_sample_contig_195049	organism
TO_sample_contig_886071	organism
TO_sample_contig_462903	organism
TO_sample_contig_28454	organism
TO_sample_contig_417552	organism
TO_sample_contig_850245	organism
TO_sample_contig_71628	virus
TO_sample_contig_402960	organism
TO_sample_contig_195954	organism
TO_sample_contig_578550	organism
TO_sample_contig_498910	organism
TO_sample_contig_431033	organism
TO_sample_contig_16099	organism
TO_sample_contig_887089	organism
TO_sample_contig_376736	virus
TO_sample_contig_605579	organism
TO_sample_contig_660386	organism
TO_sample_contig_122508	organism
TO_sample_contig_343492	organism
TO_sample_contig_771805	organism
TO_sample_contig_859794	organism
TO_sample_contig_852901	virus
TO_sample_contig_706128	organism
TO_sample_contig_479791	organism
TO_sample_contig_536569	organism
TO_sample_contig_576683	organism
TO_sample_contig_316600	organism
TO_sample_contig_380608	organism
TO_sample_contig_381127	organism
TO_sample_contig_615979	organism
TO_sample_contig_930620	virus
TO_sample_contig_317550	organism
TO_sample_contig_286413	organism
TO_sample_contig_914356	organism
TO_sample_contig_576592	organism
TO_sample_contig_156763	virus
TO_sample_contig_258378_fragment_1	organism
TO_sample_contig_177566_fragment_1	organism
TO_sample_contig_112556	virus
TO_sample_contig_845445	organism
TO_sample_contig_359045	virus
TO_sample_contig_612300	organism
TO_sample_contig_14138	organism
TO_sample_contig_62893	organism
TO_sample_contig_769805	organism
TO_sample_contig_306846	virus
TO_sample_contig_349402	organism
TO_sample_contig_273540	organism
TO_sample_contig_763975	organism
TO_sample_contig_145307	organism
TO_sample_contig_216406	organism
TO_sample_contig_514648	organism
TO_sample_contig_716146	organism
TO_sample_contig_357216	organism
TO_sample_contig_826076	organism
TO_sample_contig_695595	organism
TO_sample_contig_117494	organism
TO_sample_contig_373416	organism
TO_sample_contig_740910	organism
TO_sample_contig_805877	virus
TO_sample_contig_621443	organism
TO_sample_contig_528655	organism
TO_sample_contig_60566	organism
TO_sample_contig_866515	virus
TO_sample_contig_842629	organism
TO_sample_contig_19010	organism
TO_sample_contig_707410	organism
TO_sample_contig_413962	organism
TO_sample_contig_135445	organism
TO_sample_contig_45452	organism
TO_sample_contig_207056	organism
TO_sample_contig_882495	virus
TO_sample_contig_726307	organism
TO_sample_contig_455948	organism
TO_sample_contig_674138	virus
TO_sample_contig_444793	organism
TO_sample_contig_327181	organism
TO_sample_contig_882933	organism
TO_sample_contig_535990	virus
TO_sample_contig_909512	organism
TO_sample_contig_332123	organism
TO_sample_contig_113856	organism
TO_sample_contig_402237	plasmid
TO_sample_contig_507508	organism
TO_sample_contig_551660	organism
TO_sample_contig_65172	organism
TO_sample_contig_403689	organism
TO_sample_contig_657999	organism
TO_sample_contig_273836	organism
TO_sample_contig_298637	organism
TO_sample_contig_128010	organism
TO_sample_contig_181981	organism
TO_sample_contig_519886	virus
TO_sample_contig_569967	organism
TO_sample_contig_626345	organism
TO_sample_contig_194675	organism
TO_sample_contig_472918	organism
TO_sample_contig_101682	organism
TO_sample_contig_707892	organism
TO_sample_contig_604393	organism
TO_sample_contig_852212	organism
TO_sample_contig_736336	organism
TO_sample_contig_169230	organism
TO_sample_contig_416245	virus
TO_sample_contig_139075	organism
TO_sample_contig_896500	organism
TO_sample_contig_498180	organism
TO_sample_contig_461181	organism
TO_sample_contig_103652	organism
TO_sample_contig_853184	organism
TO_sample_contig_566401	organism
TO_sample_contig_288976	organism
TO_sample_contig_820366	virus
TO_sample_contig_86064	virus
TO_sample_contig_45004	organism
TO_sample_contig_250349	organism
TO_sample_contig_933567	organism
TO_sample_contig_115376	organism
TO_sample_contig_210727	organism
TO_sample_contig_39052	virus
TO_sample_contig_639818	organism
TO_sample_contig_171686	virus
TO_sample_contig_852598	organism
TO_sample_contig_751241	organism
TO_sample_contig_454444	organism
TO_sample_contig_33596	organism
TO_sample_contig_667874	organism
TO_sample_contig_787548	organism
TO_sample_contig_734102	organism
TO_sample_contig_95571	organism
TO_sample_contig_271809	organism
TO_sample_contig_1299	organism
TO_sample_contig_390268	organism
TO_sample_contig_313150	organism
TO_sample_contig_338048	organism
TO_sample_contig_133402	organism
TO_sample_contig_37565	organism
TO_sample_contig_161402	organism
TO_sample_contig_896289	organism
TO_sample_contig_324990	virus
TO_sample_contig_856636	virus
TO_sample_contig_189780	organism
TO_sample_contig_110761	organism
TO_sample_contig_700495	organism
TO_sample_contig_85673	organism
TO_sample_contig_511665	organism
